Month,Day,Time,Year,Condition,Temp_C
January,27,08:37 AM,2018,Rain Shower,24
January,31,02:44 PM,2017,Rain Shower,24
July,31,01:03 PM,2018,Rain Shower,24
March,14,09:38 PM,2017,Rain Shower,24
March,20,10:21 AM,2017,Rain Shower,24
March,22,01:31 AM,2018,Rain Shower,24
March,23,07:04 PM,2018,Rain Shower,24
March,29,01:46 PM,2018,Rain Shower,24
May,2,03:52 PM,2018,Rain Shower,24
May,13,01:01 PM,2018,Rain Shower,24
May,17,03:37 PM,2018,Rain Shower,24
May,25,03:19 PM,2018,Rain Shower,24
November,4,01:04 AM,2018,Rain Shower,24
November,9,01:33 PM,2018,Rain Shower,24
November,10,08:53 PM,2018,Rain Shower,24
November,12,08:53 PM,2018,Rain Shower,24
November,22,11:52 AM,2017,Rain Shower,24
November,27,03:58 PM,2018,Rain Shower,24
November,28,02:18 PM,2018,Rain Shower,24
November,30,06:08 PM,2018,Rain Shower,24
October,1,01:39 AM,2018,Rain Shower,24
October,9,09:05 AM,2018,Rain Shower,24
October,11,08:30 AM,2018,Rain Shower,24
October,16,10:03 AM,2018,Rain Shower,24
October,17,11:18 PM,2018,Rain Shower,24
October,25,02:42 PM,2018,Rain Shower,24
October,27,07:42 AM,2018,Rain Shower,24
October,31,05:31 PM,2017,Rain Shower,24
September,18,06:47 PM,2018,Rain Shower,24
September,30,09:44 PM,2018,Rain Shower,24
December,4,07:44 AM,2016,Scattered Thunderstorms,24
November,18,08:06 AM,2016,Scattered Thunderstorms,24
September,8,02:14 PM,2016,Scattered Thunderstorms,24
January,13,03:33 AM,2017,Showers,24
January,13,07:08 AM,2017,Showers,24
January,14,12:53 AM,2017,Showers,24
November,22,07:00 PM,2016,Showers,24
November,23,09:40 AM,2016,Showers,24
January,17,05:38 AM,2017,Few Showers,25
November,6,10:30 AM,2016,Few Showers,25
April,7,01:23 AM,2017,Light Rain,25
April,12,03:45 PM,2017,Light Rain,25
April,14,02:15 PM,2017,Light Rain,25
April,27,11:42 AM,2017,Light Rain,25
December,1,02:19 PM,2017,Light Rain,25
December,3,04:35 PM,2017,Light Rain,25
February,11,07:05 AM,2016,Light Rain,25
February,16,04:35 AM,2016,Light Rain,25
February,25,03:52 PM,2017,Light Rain,25
January,2,04:59 PM,2016,Light Rain,25
January,3,07:15 PM,2016,Light Rain,25
January,3,11:00 AM,2016,Light Rain,25
January,11,11:04 PM,2018,Light Rain,25
January,12,09:30 AM,2016,Light Rain,25
January,14,04:49 PM,2016,Light Rain,25
January,14,11:41 PM,2016,Light Rain,25
January,15,09:24 AM,2016,Light Rain,25
January,28,09:09 AM,2016,Light Rain,25
January,28,09:49 PM,2016,Light Rain,25
March,21,01:31 AM,2018,Light Rain,25
March,26,06:46 AM,2016,Light Rain,25
March,27,07:36 PM,2018,Light Rain,25
November,2,01:05 PM,2015,Light Rain,25
November,16,08:18 AM,2018,Light Rain,25
November,20,11:22 AM,2015,Light Rain,25
November,21,08:05 AM,2015,Light Rain,25
November,27,06:51 PM,2017,Light Rain,25
November,30,08:28 PM,2018,Light Rain,25
October,22,04:26 PM,2015,Light Rain,25
October,22,07:44 PM,2017,Light Rain,25
October,24,03:32 PM,2018,Light Rain,25
September,26,04:50 PM,2015,Light Rain,25
January,7,05:17 PM,2018,Light Rain with Thunder,25
February,4,02:31 PM,2017,Rain,25
February,26,12:52 PM,2017,Rain,25
February,26,05:38 PM,2018,Rain,25
January,3,01:42 PM,2018,Rain,25
January,3,08:48 PM,2019,Rain,25
January,4,08:03 PM,2019,Rain,25
January,13,07:32 PM,2018,Rain,25
January,26,05:17 PM,2018,Rain,25
June,12,04:07 PM,2017,Rain,25
June,13,02:07 PM,2017,Rain,25
March,18,10:28 AM,2017,Rain,25
March,23,02:06 PM,2018,Rain,25
May,21,12:22 PM,2017,Rain,25
November,19,05:48 AM,2018,Rain,25
November,22,03:37 PM,2017,Rain,25
April,1,05:08 PM,2018,Rain Shower,25
April,11,01:20 PM,2018,Rain Shower,25
April,14,05:55 PM,2018,Rain Shower,25
December,3,03:05 PM,2017,Rain Shower,25
December,27,12:39 PM,2018,Rain Shower,25
February,11,05:27 PM,2017,Rain Shower,25
February,13,09:35 PM,2018,Rain Shower,25
February,21,01:59 PM,2017,Rain Shower,25
February,22,08:43 PM,2018,Rain Shower,25
January,7,10:32 AM,2018,Rain Shower,25
January,9,01:27 PM,2018,Rain Shower,25
January,9,11:57 AM,2018,Rain Shower,25
January,10,03:49 PM,2018,Rain Shower,25
March,17,02:37 AM,2018,Rain Shower,25
March,28,11:15 AM,2017,Rain Shower,25
May,17,01:22 PM,2018,Rain Shower,25
May,25,01:04 PM,2018,Rain Shower,25
November,25,11:10 PM,2017,Rain Shower,25
October,1,12:39 PM,2018,Rain Shower,25
October,2,05:15 PM,2017,Rain Shower,25
October,4,06:37 PM,2018,Rain Shower,25
October,11,10:00 AM,2018,Rain Shower,25
October,12,09:15 AM,2018,Rain Shower,25
October,21,01:44 PM,2017,Rain Shower,25
October,27,06:02 PM,2018,Rain Shower,25
June,2,05:24 PM,2016,Scattered Thunderstorms,25
September,7,04:02 PM,2016,Showers,25
February,15,09:04 PM,2016,Thunder in the Vicinity,25
November,29,03:45 PM,2015,Thunder,25
November,6,02:30 PM,2016,Few Showers,26
November,24,05:55 PM,2016,Few Showers,26
October,3,01:03 PM,2016,Few Showers,26
April,2,06:38 PM,2018,Light Rain,26
April,6,09:32 PM,2017,Light Rain,26
April,7,04:57 PM,2017,Light Rain,26
April,17,03:25 PM,2017,Light Rain,26
April,27,09:12 AM,2017,Light Rain,26
December,22,01:08 PM,2017,Light Rain,26
December,25,01:29 PM,2018,Light Rain,26
December,31,12:50 PM,2017,Light Rain,26
February,7,08:51 PM,2017,Light Rain,26
February,10,12:12 PM,2017,Light Rain,26
February,11,04:10 PM,2016,Light Rain,26
February,11,12:38 PM,2016,Light Rain,26
February,18,01:13 PM,2018,Light Rain,26
February,29,09:18 AM,2016,Light Rain,26
January,1,08:44 PM,2016,Light Rain,26
January,2,10:18 PM,2019,Light Rain,26
January,4,12:47 PM,2018,Light Rain,26
January,4,02:28 AM,2019,Light Rain,26
January,6,04:31 PM,2018,Light Rain,26
January,20,11:24 AM,2017,Light Rain,26
January,21,10:14 PM,2018,Light Rain,26
January,28,06:52 PM,2016,Light Rain,26
January,29,08:36 PM,2017,Light Rain,26
March,4,03:48 AM,2016,Light Rain,26
March,11,09:12 AM,2016,Light Rain,26
March,26,08:26 PM,2016,Light Rain,26
November,12,02:48 PM,2018,Light Rain,26
November,19,02:27 PM,2017,Light Rain,26
September,29,02:09 PM,2018,Light Rain,26
September,29,11:39 AM,2018,Light Rain,26
September,30,01:49 PM,2015,Light Rain,26
December,28,01:01 PM,2018,Light Rain with Thunder,26
March,16,02:50 PM,2016,Light Rain with Thunder,26
April,5,01:44 PM,2018,Rain,26
April,7,01:52 PM,2017,Rain,26
December,20,03:54 PM,2018,Rain,26
December,24,01:26 PM,2018,Rain,26
December,26,01:53 PM,2017,Rain,26
December,30,03:05 PM,2017,Rain,26
December,30,02:21 PM,2018,Rain,26
December,31,02:23 PM,2018,Rain,26
February,5,01:49 PM,2017,Rain,26
February,10,06:15 PM,2018,Rain,26
February,14,02:25 PM,2018,Rain,26
February,27,04:03 PM,2018,Rain,26
February,28,01:08 PM,2018,Rain,26
January,2,01:48 PM,2019,Rain,26
March,2,05:59 PM,2017,Rain,26
March,3,05:02 PM,2018,Rain,26
March,8,09:40 AM,2018,Rain,26
March,15,04:42 PM,2018,Rain,26
November,22,02:07 PM,2017,Rain,26
April,2,02:08 PM,2018,Rain Shower,26
April,4,01:28 PM,2018,Rain Shower,26
April,8,11:23 AM,2018,Rain Shower,26
December,7,04:29 PM,2017,Rain Shower,26
December,9,10:57 AM,2017,Rain Shower,26
December,16,10:49 PM,2018,Rain Shower,26
December,30,10:35 AM,2017,Rain Shower,26
February,15,03:13 PM,2018,Rain Shower,26
February,17,03:03 PM,2018,Rain Shower,26
February,23,10:28 AM,2018,Rain Shower,26
February,25,02:33 PM,2018,Rain Shower,26
February,27,01:21 PM,2017,Rain Shower,26
January,1,03:12 PM,2018,Rain Shower,26
January,1,08:38 PM,2019,Rain Shower,26
January,8,11:12 AM,2018,Rain Shower,26
January,12,06:54 PM,2018,Rain Shower,26
January,21,02:29 PM,2018,Rain Shower,26
January,28,03:04 PM,2018,Rain Shower,26
March,9,10:54 AM,2018,Rain Shower,26
March,10,06:34 PM,2018,Rain Shower,26
March,10,11:39 AM,2018,Rain Shower,26
March,22,11:02 AM,2018,Rain Shower,26
November,11,09:53 AM,2017,Rain Shower,26
November,17,12:57 PM,2017,Rain Shower,26
November,18,07:42 PM,2017,Rain Shower,26
November,23,07:27 PM,2018,Rain Shower,26
November,25,12:53 PM,2018,Rain Shower,26
November,26,02:01 PM,2017,Rain Shower,26
October,4,07:57 AM,2018,Rain Shower,26
October,9,02:31 PM,2018,Rain Shower,26
October,11,12:16 PM,2018,Rain Shower,26
October,12,10:45 AM,2018,Rain Shower,26
October,13,04:15 PM,2018,Rain Shower,26
October,19,04:08 PM,2018,Rain Shower,26
October,27,03:02 PM,2018,Rain Shower,26
October,28,01:14 PM,2017,Rain Shower,26
September,27,05:57 PM,2018,Rain Shower,26
September,28,01:17 PM,2018,Rain Shower,26
September,28,11:37 AM,2018,Rain Shower,26
December,17,10:20 AM,2016,Showers,26
November,6,12:01 PM,2016,Showers,26
November,24,12:51 PM,2016,Showers,26
November,29,02:52 AM,2016,Showers,26
September,2,02:04 PM,2016,Showers,26
December,17,06:41 PM,2015,Thunder,26
December,19,09:48 PM,2015,Thunder in the Vicinity,26
January,12,07:15 PM,2016,Thunderstorm,26
October,13,09:13 PM,2016,Few Showers,27
October,13,09:45 PM,2016,Few Showers,27
October,21,04:24 PM,2016,Few Showers,27
September,29,12:29 PM,2016,Few Showers,27
December,14,09:09 AM,2016,Isolated Thunderstorms,27
April,6,12:27 PM,2018,Light Rain,27
April,10,02:10 PM,2017,Light Rain,27
April,12,12:00 PM,2017,Light Rain,27
December,26,04:53 PM,2017,Light Rain,27
December,27,06:23 PM,2017,Light Rain,27
December,27,10:53 AM,2017,Light Rain,27
February,7,06:36 PM,2017,Light Rain,27
February,8,10:56 AM,2017,Light Rain,27
February,21,06:43 PM,2018,Light Rain,27
February,27,11:33 AM,2018,Light Rain,27
February,28,04:58 PM,2018,Light Rain,27
January,3,08:58 PM,2019,Light Rain,27
January,7,03:47 PM,2018,Light Rain,27
January,11,07:21 PM,2016,Light Rain,27
January,13,05:18 PM,2016,Light Rain,27
March,5,03:35 PM,2017,Light Rain,27
March,11,12:47 AM,2016,Light Rain,27
March,11,02:53 PM,2017,Light Rain,27
March,13,04:10 PM,2018,Light Rain,27
March,29,07:27 PM,2016,Light Rain,27
November,20,05:20 AM,2015,Light Rain,27
October,17,05:38 PM,2018,Light Rain,27
February,16,06:23 PM,2016,Light Rain Shower,27
April,3,05:08 PM,2018,Light Rain with Thunder,27
February,19,02:56 PM,2018,Light Rain with Thunder,27
February,21,02:08 PM,2018,Light Rain with Thunder,27
January,22,04:46 PM,2018,Light Rain with Thunder,27
January,25,04:54 PM,2017,Light Rain with Thunder,27
January,28,04:30 PM,2016,Light Rain with Thunder,27
March,6,08:11 PM,2016,Light Rain with Thunder,27
March,23,06:56 PM,2016,Light Rain with Thunder,27
November,15,02:28 PM,2018,Light Rain with Thunder,27
March,2,01:08 PM,2018,Rain,27
March,2,04:17 PM,2018,Rain,27
October,25,10:42 AM,2016,Rain,27
April,6,03:42 PM,2017,Rain Shower,27
April,26,02:03 PM,2018,Rain Shower,27
December,15,04:12 PM,2018,Rain Shower,27
December,16,04:09 PM,2018,Rain Shower,27
December,21,03:39 PM,2018,Rain Shower,27
December,23,02:11 PM,2018,Rain Shower,27
December,25,11:54 AM,2018,Rain Shower,27
December,28,09:23 AM,2017,Rain Shower,27
February,3,03:21 PM,2017,Rain Shower,27
February,11,04:15 PM,2018,Rain Shower,27
February,20,06:36 PM,2018,Rain Shower,27
February,23,04:34 PM,2017,Rain Shower,27
February,24,01:33 PM,2018,Rain Shower,27
February,25,02:22 PM,2017,Rain Shower,27
February,25,05:22 PM,2017,Rain Shower,27
February,26,10:32 AM,2017,Rain Shower,27
January,1,01:43 PM,2019,Rain Shower,27
January,2,03:57 PM,2018,Rain Shower,27
January,5,05:26 PM,2018,Rain Shower,27
January,5,02:28 PM,2019,Rain Shower,27
January,11,05:34 PM,2018,Rain Shower,27
January,14,04:21 PM,2018,Rain Shower,27
January,19,09:39 PM,2018,Rain Shower,27
January,20,01:44 PM,2018,Rain Shower,27
January,24,06:53 PM,2017,Rain Shower,27
January,29,04:39 PM,2018,Rain Shower,27
March,2,02:54 PM,2017,Rain Shower,27
March,13,03:43 PM,2017,Rain Shower,27
March,21,02:51 PM,2018,Rain Shower,27
May,3,12:07 PM,2018,Rain Shower,27
November,5,11:45 AM,2017,Rain Shower,27
November,24,03:10 PM,2017,Rain Shower,27
November,25,03:10 PM,2017,Rain Shower,27
October,1,02:54 PM,2018,Rain Shower,27
October,12,11:58 AM,2016,Scattered Thunderstorms,27
September,6,12:33 PM,2016,Showers,27
December,18,08:17 PM,2015,Thunder,27
February,22,07:20 PM,2016,Thunder,27
December,21,07:00 PM,2015,Thunder in the Vicinity,27
March,30,07:54 PM,2016,Thunder in the Vicinity,27
March,17,05:38 PM,2016,Thunder,27
November,18,06:07 PM,2015,Thunder,27
November,3,01:20 AM,2016,Few Showers,28
October,23,03:39 PM,2016,Few Showers,28
December,12,08:47 AM,2016,Isolated Thunderstorms,28
February,13,01:05 PM,2018,Light Rain,28
March,6,03:40 PM,2017,Light Rain,28
March,11,12:15 PM,2016,Light Rain,28
March,4,08:44 PM,2016,Light Rain with Thunder,28
October,22,11:27 AM,2015,Light Rain with Thunder,28
April,5,10:37 AM,2018,Rain Shower,28
April,8,12:22 PM,2017,Rain Shower,28
April,9,01:52 PM,2017,Rain Shower,28
December,4,12:45 PM,2017,Rain Shower,28
December,5,02:59 PM,2017,Rain Shower,28
December,5,11:59 AM,2017,Rain Shower,28
December,5,01:35 PM,2018,Rain Shower,28
December,16,06:11 PM,2017,Rain Shower,28
December,19,12:04 PM,2017,Rain Shower,28
December,21,01:08 PM,2017,Rain Shower,28
December,21,03:54 PM,2018,Rain Shower,28
December,29,11:25 AM,2017,Rain Shower,28
December,29,02:21 PM,2018,Rain Shower,28
December,30,01:40 PM,2017,Rain Shower,28
February,12,04:25 PM,2018,Rain Shower,28
February,15,05:28 PM,2018,Rain Shower,28
January,4,02:29 PM,2019,Rain Shower,28
January,15,02:51 PM,2018,Rain Shower,28
January,24,03:40 PM,2018,Rain Shower,28
January,25,02:05 PM,2018,Rain Shower,28
January,26,03:44 PM,2017,Rain Shower,28
March,1,12:23 PM,2018,Rain Shower,28
March,4,11:37 AM,2018,Rain Shower,28
March,6,12:35 PM,2017,Rain Shower,28
March,7,03:45 PM,2017,Rain Shower,28
March,7,09:40 AM,2018,Rain Shower,28
March,8,11:34 AM,2017,Rain Shower,28
March,9,04:59 PM,2017,Rain Shower,28
March,13,01:20 PM,2018,Rain Shower,28
March,18,12:56 PM,2018,Rain Shower,28
March,21,12:36 PM,2018,Rain Shower,28
October,27,12:47 PM,2018,Rain Shower,28
November,8,10:36 AM,2016,Scattered Thunderstorms,28
September,7,11:18 AM,2016,Scattered Thunderstorms,28
September,17,01:23 PM,2016,Scattered Thunderstorms,28
August,21,01:37 PM,2016,Showers,28
October,26,10:42 AM,2016,Showers,28
December,12,07:09 PM,2015,Thunder,28
December,14,10:14 PM,2015,Thunder,28
December,15,09:50 PM,2015,Thunder,28
February,25,04:28 PM,2016,Thunder,28
December,13,09:25 PM,2015,Thunder in the Vicinity,28
November,7,10:30 AM,2016,Few Showers,29
March,5,11:37 AM,2018,Light Rain,29
April,27,12:33 PM,2018,Rain Shower,29
August,20,02:26 PM,2017,Rain Shower,29
December,19,02:19 PM,2017,Rain Shower,29
December,21,08:29 PM,2018,Rain Shower,29
February,10,03:12 PM,2017,Rain Shower,29
February,20,01:21 PM,2018,Rain Shower,29
January,12,01:29 PM,2018,Rain Shower,29
January,23,03:35 PM,2018,Rain Shower,29
March,4,02:54 PM,2017,Rain Shower,29
March,18,04:46 PM,2018,Rain Shower,29
March,20,01:32 PM,2018,Rain Shower,29
November,1,02:14 PM,2018,Rain Shower,29
December,18,11:50 AM,2016,Scattered Thunderstorms,29
November,26,04:22 PM,2016,Scattered Thunderstorms,29
November,29,11:06 AM,2016,Scattered Thunderstorms,29
April,27,10:45 AM,2016,Showers,29
August,31,01:38 PM,2016,Showers,29
November,22,12:50 PM,2016,Showers,29
February,17,06:38 PM,2016,Thunder,29
February,26,06:02 PM,2016,Thunder,29
April,1,04:10 PM,2016,Thunder in the Vicinity,29
March,31,05:27 PM,2016,Thunder,29
January,11,02:47 PM,2016,Light Rain,30
December,14,04:12 PM,2018,Rain Shower,30
December,27,01:53 PM,2017,Rain Shower,30
January,19,11:54 AM,2017,Scattered Thunderstorms,30
November,16,11:50 AM,2016,Scattered Thunderstorms,30
February,19,07:03 PM,2016,Thunder,30
February,20,04:53 PM,2016,Thunder,30
December,9,10:36 AM,2016,Isolated Thunderstorms,31
January,14,02:13 PM,2017,Isolated Thunderstorms,31
January,14,12:38 PM,2017,Isolated Thunderstorms,31
November,9,12:06 PM,2016,Isolated Thunderstorms,31
January,23,06:10 PM,2018,Light Rain with Thunder,31
December,1,01:51 PM,2018,Rain Shower,31
December,15,02:01 PM,2017,Rain Shower,31
December,20,06:28 PM,2017,Rain Shower,31
February,7,01:21 PM,2017,Rain Shower,31
February,20,01:59 PM,2017,Rain Shower,31
January,23,03:48 PM,2017,Rain Shower,31
March,3,11:02 AM,2018,Rain Shower,31
March,18,02:31 PM,2018,Rain Shower,31
January,8,11:16 AM,2017,Scattered Thunderstorms,31
November,15,02:05 PM,2016,Scattered Thunderstorms,31
November,17,12:16 PM,2016,Scattered Thunderstorms,31
October,15,10:06 AM,2016,Scattered Thunderstorms,31
September,12,04:16 PM,2016,Scattered Thunderstorms,31
December,3,12:24 PM,2016,Isolated Thunderstorms,32
December,25,12:11 PM,2016,Isolated Thunderstorms,32
January,7,11:06 AM,2017,Isolated Thunderstorms,32
September,12,01:18 PM,2016,Isolated Thunderstorms,32
September,12,02:12 PM,2016,Isolated Thunderstorms,32
February,6,12:36 PM,2017,Rain Shower,32
February,22,12:03 PM,2018,Rain Shower,32
February,24,01:37 PM,2017,Rain Shower,32
January,19,03:39 PM,2018,Rain Shower,32
March,15,01:38 PM,2017,Rain Shower,32
March,26,03:23 PM,2018,Rain Shower,32
December,12,10:22 AM,2016,Scattered Thunderstorms,32
December,13,11:02 AM,2016,Scattered Thunderstorms,32
January,3,11:43 AM,2017,Scattered Thunderstorms,32
January,15,11:53 AM,2017,Scattered Thunderstorms,32
January,16,10:28 AM,2017,Scattered Thunderstorms,32
November,3,11:46 AM,2016,Scattered Thunderstorms,32
October,14,10:15 AM,2016,Scattered Thunderstorms,32
October,24,01:43 PM,2016,Showers,32
November,19,04:00 PM,2015,Thunder,32
November,3,08:35 AM,2016,Few Showers,33
December,11,10:27 AM,2016,Isolated Thunderstorms,33
December,19,01:20 PM,2016,Isolated Thunderstorms,33
November,11,03:04 PM,2016,Isolated Thunderstorms,33
November,27,03:57 PM,2016,Isolated Thunderstorms,33
December,8,11:11 AM,2016,Scattered Thunderstorms,33
December,10,12:07 PM,2016,Scattered Thunderstorms,33
December,21,01:01 PM,2016,Scattered Thunderstorms,33
January,11,11:18 AM,2017,Scattered Thunderstorms,33
November,10,12:11 PM,2016,Scattered Thunderstorms,33
October,20,12:35 PM,2016,Scattered Thunderstorms,33
January,18,05:33 PM,2017,Showers,33
February,27,04:32 PM,2016,Thunder,33
February,28,04:46 PM,2016,Thunder,33
January,2,12:28 PM,2017,Isolated Thunderstorms,34
January,9,11:51 AM,2017,Isolated Thunderstorms,34
October,16,11:26 AM,2016,Isolated Thunderstorms,34
October,18,01:20 PM,2016,Isolated Thunderstorms,34
December,17,03:04 PM,2017,Rain Shower,34
January,22,03:15 PM,2018,Rain Shower,34
March,3,02:04 PM,2017,Rain Shower,34
November,18,03:27 PM,2017,Rain Shower,34
December,24,12:56 PM,2016,Scattered Thunderstorms,34
December,29,03:38 PM,2016,Scattered Thunderstorms,34
January,4,12:44 PM,2017,Scattered Thunderstorms,34
January,6,12:54 PM,2017,Scattered Thunderstorms,34
January,10,11:13 AM,2017,Scattered Thunderstorms,34
December,20,02:36 PM,2016,Isolated Thunderstorms,35
January,3,02:33 PM,2019,Rain Shower,35
December,22,02:37 PM,2016,Scattered Thunderstorms,35
December,23,12:56 PM,2016,Scattered Thunderstorms,35
December,24,01:56 PM,2017,Rain Shower,36
October,3,02:52 PM,2018,Rain Shower,36
December,31,12:36 PM,2016,Scattered Thunderstorms,36
November,2,02:50 PM,2016,Scattered Thunderstorms,36
November,28,02:37 PM,2016,Scattered Thunderstorms,36
October,17,03:22 PM,2016,Scattered Thunderstorms,36
December,30,12:37 PM,2016,Isolated Thunderstorms,37
October,27,03:31 PM,2016,Isolated Thunderstorms,37
December,24,03:26 PM,2017,Rain Shower,37
December,26,02:34 PM,2016,Scattered Thunderstorms,37
January,1,12:23 PM,2017,Scattered Thunderstorms,37
January,5,12:44 PM,2017,Scattered Thunderstorms,37
December,27,02:49 PM,2016,Scattered Thunderstorms,39
