,yyyy,mm,tmax_C,tmin_C,af,rain_mm,sun_hours
437,1889,Jun,20.6,10.9,0.0,50.5,
438,1889,Jul,20.0,11.3,0.0,72.4,
439,1889,Aug,19.6,10.8,0.0,60.7,
440,1889,Sep,17.5,9.1,0.0,45.2,
441,1889,Oct,12.8,5.4,1.0,62.5,
442,1889,Nov,9.5,4.3,4.0,26.5,
443,1889,Dec,5.6,0.1,16.0,30.1,
444,1890,Jan,8.7,3.3,3.0,51.0,
445,1890,Feb,6.3,0.3,12.0,18.7,
446,1890,Mar,10.1,2.6,5.0,21.9,
447,1890,Apr,11.9,3.0,6.0,25.8,
448,1890,May,17.0,6.6,0.0,45.2,
449,1890,Jun,19.0,9.7,0.0,44.6,
450,1890,Jul,19.3,11.2,0.0,77.2,
451,1890,Aug,19.4,10.8,0.0,62.7,
452,1890,Sep,20.2,9.9,0.0,26.3,
453,1890,Oct,14.0,5.7,1.0,33.6,
454,1890,Nov,9.2,3.0,7.0,47.1,
455,1890,Dec,0.2,-4.0,25.0,13.3,
456,1891,Jan,4.3,-1.9,20.0,39.4,
457,1891,Feb,8.9,-0.2,13.0,2.5,
458,1891,Mar,7.9,0.9,13.0,35.4,
459,1891,Apr,11.2,2.2,5.0,24.0,
460,1891,May,14.1,5.6,2.0,65.8,
461,1891,Jun,19.9,10.4,0.0,36.3,
462,1891,Jul,19.3,10.7,0.0,62.3,
463,1891,Aug,18.0,10.9,0.0,119.7,
464,1891,Sep,18.6,9.8,0.0,36.8,
465,1891,Oct,13.2,6.6,1.0,150.1,
466,1891,Nov,8.4,3.2,3.0,62.6,
467,1891,Dec,7.3,1.6,9.0,86.1,
468,1892,Jan,4.8,-0.3,18.0,12.0,
469,1892,Feb,6.4,0.9,9.0,18.6,
470,1892,Mar,6.9,-0.9,23.0,9.5,
471,1892,Apr,14.3,1.7,10.0,19.5,
472,1892,May,17.1,6.9,3.0,32.8,
473,1892,Jun,19.2,8.7,0.0,52.7,
474,1892,Jul,18.9,10.3,0.0,84.4,
475,1892,Aug,20.4,11.5,0.0,78.7,
476,1892,Sep,16.9,8.9,0.0,59.1,
477,1892,Oct,11.1,4.0,4.0,85.6,
478,1892,Nov,9.4,3.8,6.0,49.2,
479,1892,Dec,4.7,-0.6,17.0,25.3,
480,1893,Jan,4.4,-0.3,15.0,43.1,
481,1893,Feb,8.0,2.5,5.0,69.4,
482,1893,Mar,13.7,1.7,12.0,9.4,
483,1893,Apr,18.0,3.9,2.0,1.5,
484,1893,May,19.4,7.7,0.0,23.1,
485,1893,Jun,21.8,10.2,0.0,19.6,
486,1893,Jul,21.6,12.5,0.0,98.9,
487,1893,Aug,23.2,13.0,0.0,27.7,
488,1893,Sep,18.6,8.9,0.0,16.0,
489,1893,Oct,14.3,6.6,1.0,73.5,
490,1893,Nov,8.2,1.7,12.0,42.5,
491,1893,Dec,7.8,1.3,5.0,47.7,
492,1894,Jan,6.1,1.2,9.0,49.6,
493,1894,Feb,8.6,2.2,7.0,41.3,
494,1894,Mar,11.8,2.2,5.0,45.0,
495,1894,Apr,15.0,5.1,0.0,46.9,
496,1894,May,14.1,5.3,1.0,39.3,
497,1894,Jun,18.2,9.9,0.0,74.0,
498,1894,Jul,20.6,12.0,0.0,84.8,
499,1894,Aug,18.6,11.0,0.0,69.7,
500,1894,Sep,16.0,8.3,0.0,47.1,
501,1894,Oct,12.5,6.9,1.0,89.4,
502,1894,Nov,10.6,5.4,0.0,126.1,
503,1894,Dec,7.5,2.8,9.0,52.6,
504,1895,Jan,3.1,-1.8,20.0,66.3,
505,1895,Feb,1.8,-5.3,24.0,4.4,
506,1895,Mar,10.0,2.0,9.0,39.2,
507,1895,Apr,13.1,5.0,1.0,46.4,
508,1895,May,19.0,7.3,0.0,4.6,
509,1895,Jun,21.4,9.8,0.0,28.6,
510,1895,Jul,20.4,12.2,0.0,91.5,
511,1895,Aug,20.5,12.1,0.0,62.5,
512,1895,Sep,22.4,9.9,0.0,16.4,
513,1895,Oct,11.6,3.9,8.0,76.6,
514,1895,Nov,11.1,5.4,1.0,113.5,
515,1895,Dec,6.8,1.9,6.0,56.5,
516,1896,Jan,7.2,2.4,5.0,16.8,
517,1896,Feb,8.0,1.4,9.0,10.1,
518,1896,Mar,11.4,4.3,3.0,69.0,
519,1896,Apr,14.0,5.4,0.0,17.5,
520,1896,May,18.2,6.6,1.0,6.1,
521,1896,Jun,21.9,12.0,0.0,65.0,
522,1896,Jul,22.8,12.1,0.0,37.4,
523,1896,Aug,19.6,10.6,0.0,79.8,
524,1896,Sep,17.0,10.7,0.0,152.6,
525,1896,Oct,11.5,4.5,3.0,81.1,
526,1896,Nov,7.8,1.6,8.0,21.8,
527,1896,Dec,6.7,1.7,11.0,77.3,
528,1897,Jan,3.9,-0.2,15.0,44.7,
529,1897,Feb,8.8,4.1,2.0,60.0,
530,1897,Mar,10.6,4.1,3.0,73.6,
531,1897,Apr,11.6,4.1,2.0,53.5,
532,1897,May,15.7,5.7,1.0,17.9,
533,1897,Jun,20.6,11.2,0.0,74.1,
534,1897,Jul,22.4,12.3,0.0,67.1,
535,1897,Aug,20.9,12.1,0.0,108.9,
536,1897,Sep,16.7,8.9,0.0,59.7,
537,1897,Oct,14.2,6.3,0.0,36.0,
538,1897,Nov,10.2,4.3,2.0,29.8,
539,1897,Dec,7.6,1.9,10.0,65.5,
540,1898,Jan,8.6,4.2,5.0,12.8,
541,1898,Feb,8.5,2.0,7.0,32.9,
542,1898,Mar,8.5,0.6,15.0,17.6,
543,1898,Apr,13.6,3.7,4.0,36.0,
544,1898,May,14.8,6.8,0.0,61.7,
545,1898,Jun,18.8,9.5,0.0,34.8,
546,1898,Jul,21.3,11.1,0.0,15.2,
547,1898,Aug,22.4,12.5,0.0,43.8,
548,1898,Sep,22.2,10.0,0.0,10.5,
549,1898,Oct,14.6,8.4,0.0,125.6,
550,1898,Nov,10.4,4.7,3.0,50.9,
551,1898,Dec,10.1,5.1,4.0,65.2,
552,1899,Jan,8.5,2.9,5.0,75.3,
553,1899,Feb,9.5,2.1,10.0,51.2,
554,1899,Mar,10.6,0.4,16.0,7.4,
555,1899,Apr,12.2,5.1,2.0,48.8,
556,1899,May,15.4,6.2,0.0,38.0,
557,1899,Jun,22.0,10.3,0.0,20.3,
558,1899,Jul,23.8,13.3,0.0,42.9,
559,1899,Aug,24.9,12.3,0.0,47.6,
560,1899,Sep,18.6,10.3,0.0,58.2,
561,1899,Oct,14.1,4.7,2.0,70.1,
562,1899,Nov,11.3,5.4,3.0,66.6,
563,1899,Dec,5.0,-0.2,14.0,33.2,
564,1900,Jan,7.2,2.1,5.0,58.5,
565,1900,Feb,6.0,0.7,14.0,107.0,
566,1900,Mar,7.2,0.9,8.0,12.9,
567,1900,Apr,13.8,3.8,3.0,22.8,
568,1900,May,15.2,6.3,0.0,34.0,
569,1900,Jun,19.5,10.6,0.0,69.4,
570,1900,Jul,24.3,13.4,0.0,22.4,
571,1900,Aug,20.4,11.5,0.0,79.8,
572,1900,Sep,19.6,9.2,0.0,10.4,
573,1900,Oct,14.2,6.7,0.0,59.1,
574,1900,Nov,10.3,5.4,2.0,42.2,
575,1900,Dec,10.2,5.0,2.0,81.9,
576,1901,Jan,6.0,1.0,15.0,26.9,
577,1901,Feb,4.9,0.1,13.0,32.8,
578,1901,Mar,7.6,1.2,8.0,36.1,
579,1901,Apr,14.0,4.3,1.0,53.2,
580,1901,May,17.4,6.2,1.0,31.8,
581,1901,Jun,19.8,9.4,0.0,38.6,
582,1901,Jul,23.8,13.2,0.0,118.1,
583,1901,Aug,21.4,11.5,0.0,54.3,
584,1901,Sep,18.5,10.0,0.0,47.0,
585,1901,Oct,14.1,6.2,3.0,30.5,
586,1901,Nov,8.1,1.7,11.0,13.4,
587,1901,Dec,6.4,0.9,12.0,83.5,
588,1902,Jan,7.8,2.6,10.0,17.1,
589,1902,Feb,4.7,-0.5,18.0,26.9,
590,1902,Mar,11.0,3.8,4.0,30.8,
591,1902,Apr,12.7,3.5,4.0,30.6,
592,1902,May,13.8,5.4,1.0,38.6,
593,1902,Jun,18.5,9.8,0.0,50.1,
594,1902,Jul,20.5,11.0,0.0,15.7,
595,1902,Aug,19.6,11.1,0.0,56.0,
596,1902,Sep,18.0,8.5,0.0,27.9,
597,1902,Oct,13.0,6.8,0.0,39.0,
598,1902,Nov,9.6,4.5,4.0,56.8,
599,1902,Dec,7.0,2.5,7.0,33.9,
600,1903,Jan,6.9,2.4,8.0,65.4,
601,1903,Feb,10.5,4.5,1.0,19.8,
602,1903,Mar,11.1,4.3,0.0,77.1,
603,1903,Apr,11.0,2.6,9.0,58.5,
604,1903,May,16.2,7.2,0.0,111.0,
605,1903,Jun,17.5,8.9,0.0,141.8,
606,1903,Jul,20.7,11.9,0.0,88.2,
607,1903,Aug,18.8,10.9,0.0,84.7,
608,1903,Sep,17.8,9.7,0.0,39.3,
609,1903,Oct,14.0,8.5,0.0,163.3,
610,1903,Nov,9.6,3.9,4.0,38.2,
611,1903,Dec,5.7,1.6,10.0,26.5,
612,1904,Jan,6.8,1.4,10.0,79.1,
613,1904,Feb,6.4,1.5,8.0,76.0,
614,1904,Mar,8.3,1.6,7.0,26.4,
615,1904,Apr,13.8,5.4,0.0,20.4,
616,1904,May,15.6,7.4,0.0,81.7,
617,1904,Jun,18.8,9.2,0.0,26.5,
618,1904,Jul,23.2,13.0,0.0,85.1,
619,1904,Aug,20.6,11.0,0.0,38.7,
620,1904,Sep,17.3,7.9,0.0,31.6,
621,1904,Oct,13.5,6.3,1.0,21.8,
622,1904,Nov,8.5,2.0,11.0,39.5,
623,1904,Dec,6.4,1.6,11.0,46.9,
624,1905,Jan,6.3,0.4,15.0,19.9,
625,1905,Feb,8.4,3.2,2.0,10.2,
626,1905,Mar,11.1,3.9,2.0,75.7,
627,1905,Apr,11.5,4.5,1.0,49.0,
628,1905,May,16.7,6.1,1.0,19.5,
629,1905,Jun,19.5,10.9,0.0,105.1,
630,1905,Jul,23.3,13.4,0.0,4.0,
631,1905,Aug,19.7,11.4,0.0,80.4,
632,1905,Sep,16.8,9.4,0.0,32.5,
633,1905,Oct,11.4,3.8,6.0,35.4,
634,1905,Nov,8.3,2.2,7.0,75.5,
635,1905,Dec,7.0,2.2,7.0,25.1,
636,1906,Jan,8.4,3.1,3.0,89.3,
637,1906,Feb,6.6,0.7,10.0,40.4,
638,1906,Mar,9.3,2.1,9.0,32.2,
639,1906,Apr,13.8,2.1,9.0,9.0,
640,1906,May,15.5,7.2,0.0,45.0,
641,1906,Jun,20.2,9.3,0.0,86.9,
642,1906,Jul,22.2,11.6,0.0,26.7,
643,1906,Aug,23.4,12.6,0.0,25.4,
644,1906,Sep,20.4,9.4,0.0,25.0,
645,1906,Oct,14.9,8.3,0.0,104.8,
646,1906,Nov,10.5,4.7,3.0,82.4,
647,1906,Dec,6.2,0.6,13.0,48.3,
648,1907,Jan,6.3,1.1,10.0,15.5,
649,1907,Feb,6.3,0.3,13.0,28.6,
650,1907,Mar,12.1,1.8,8.0,21.3,
651,1907,Apr,12.6,4.1,1.0,57.4,
652,1907,May,15.9,7.3,0.0,59.6,
653,1907,Jun,16.8,9.5,0.0,75.1,
654,1907,Jul,19.2,10.4,0.0,86.0,
655,1907,Aug,19.3,11.0,0.0,34.9,
656,1907,Sep,19.7,9.0,0.0,18.1,
657,1907,Oct,13.7,7.0,0.0,135.9,
658,1907,Nov,10.2,4.2,2.0,57.5,
659,1907,Dec,7.8,3.0,3.0,97.7,
660,1908,Jan,5.5,-0.4,18.0,42.4,
661,1908,Feb,8.6,2.7,4.0,22.2,
662,1908,Mar,8.3,1.5,6.0,67.7,
663,1908,Apr,10.4,2.4,10.0,109.4,
664,1908,May,17.6,9.0,0.0,37.2,
665,1908,Jun,20.5,9.8,0.0,43.1,
666,1908,Jul,21.5,12.2,0.0,54.2,
667,1908,Aug,20.0,10.7,0.0,77.0,
668,1908,Sep,17.0,9.4,0.0,41.9,
669,1908,Oct,16.1,8.1,1.0,29.7,
670,1908,Nov,11.1,5.0,3.0,28.6,
671,1908,Dec,6.5,1.6,5.0,49.9,
672,1909,Jan,6.2,1.1,12.0,20.9,
673,1909,Feb,6.5,-0.6,17.0,10.6,
674,1909,Mar,7.1,1.2,9.0,63.7,
675,1909,Apr,15.1,3.5,5.0,50.2,
676,1909,May,17.3,5.4,0.0,48.1,
677,1909,Jun,16.1,8.8,0.0,101.4,
678,1909,Jul,19.6,11.7,0.0,61.5,
679,1909,Aug,21.2,11.7,0.0,83.7,
680,1909,Sep,16.1,9.1,0.0,79.1,
681,1909,Oct,14.1,8.1,2.0,90.8,
682,1909,Nov,8.3,2.3,10.0,16.1,
683,1909,Dec,7.3,1.9,9.0,78.4,
684,1910,Jan,6.7,1.6,9.0,40.4,
685,1910,Feb,8.6,2.8,4.0,74.8,
686,1910,Mar,10.6,1.9,10.0,15.4,
687,1910,Apr,11.8,4.2,3.0,73.0,
688,1910,May,16.5,7.3,1.0,52.6,
689,1910,Jun,19.9,11.3,0.0,75.7,
690,1910,Jul,18.3,11.1,0.0,51.1,
691,1910,Aug,19.5,12.0,0.0,48.0,
692,1910,Sep,17.1,9.1,0.0,11.2,
693,1910,Oct,14.2,8.5,0.0,94.6,
694,1910,Nov,6.9,0.4,17.0,78.6,
695,1910,Dec,8.8,4.7,1.0,125.9,
696,1911,Jan,6.3,1.3,9.0,20.4,
697,1911,Feb,8.0,2.4,6.0,35.3,
698,1911,Mar,8.5,2.7,2.0,41.7,
699,1911,Apr,12.2,4.2,6.0,29.6,
700,1911,May,18.6,8.4,0.0,56.0,
701,1911,Jun,20.1,10.5,0.0,30.2,
702,1911,Jul,26.1,13.1,0.0,10.8,
703,1911,Aug,24.9,14.0,0.0,26.1,
704,1911,Sep,21.4,9.4,0.0,36.5,
705,1911,Oct,13.4,6.7,1.0,62.6,
706,1911,Nov,9.3,3.6,4.0,61.9,
707,1911,Dec,9.1,4.6,1.0,126.9,
708,1912,Jan,6.8,1.7,9.0,111.5,
709,1912,Feb,8.8,3.7,6.0,54.2,
710,1912,Mar,10.8,5.0,0.0,83.3,
711,1912,Apr,14.7,3.8,2.0,0.6,
712,1912,May,17.5,8.8,0.0,55.2,
713,1912,Jun,18.6,10.2,0.0,83.0,
714,1912,Jul,21.1,12.5,0.0,78.7,
715,1912,Aug,17.1,10.0,0.0,123.6,
716,1912,Sep,15.2,7.7,0.0,29.8,
717,1912,Oct,13.3,3.9,7.0,80.8,
718,1912,Nov,9.2,4.1,3.0,47.2,
719,1912,Dec,10.1,5.0,1.0,85.9,
720,1913,Jan,7.6,3.0,5.0,77.0,
721,1913,Feb,7.8,1.9,9.0,24.9,
722,1913,Mar,10.4,3.3,4.0,68.1,
723,1913,Apr,12.2,4.7,1.0,96.8,
724,1913,May,17.0,7.8,0.0,68.4,
725,1913,Jun,19.9,10.0,0.0,14.5,
726,1913,Jul,19.6,11.4,0.0,20.1,
727,1913,Aug,21.0,11.1,0.0,20.4,
728,1913,Sep,18.6,10.8,0.0,47.6,
729,1913,Oct,15.0,8.5,1.0,120.9,
730,1913,Nov,11.9,5.7,2.0,63.6,
731,1913,Dec,7.5,2.8,10.0,24.2,
732,1914,Jan,6.0,1.2,13.0,13.9,
733,1914,Feb,10.4,3.8,2.0,51.4,
734,1914,Mar,10.1,3.3,6.0,92.0,
735,1914,Apr,15.9,4.7,0.0,29.8,
736,1914,May,16.6,6.4,2.0,37.1,
737,1914,Jun,20.8,10.0,0.0,77.4,
738,1914,Jul,20.9,12.2,0.0,77.7,
739,1914,Aug,21.8,12.1,0.0,47.3,
740,1914,Sep,19.5,8.3,0.0,22.2,
741,1914,Oct,14.6,7.2,0.0,74.8,
742,1914,Nov,10.2,4.0,6.0,74.1,
743,1914,Dec,8.0,2.6,6.0,147.9,
744,1915,Jan,6.5,2.2,6.0,81.1,
745,1915,Feb,7.9,1.9,7.0,91.7,
746,1915,Mar,9.3,1.8,11.0,33.1,
747,1915,Apr,12.9,3.5,1.0,21.0,
748,1915,May,17.1,6.4,0.0,90.3,
749,1915,Jun,20.6,9.5,0.0,35.1,
750,1915,Jul,19.7,11.3,0.0,114.1,
751,1915,Aug,20.8,12.2,0.0,35.2,
752,1915,Sep,18.8,8.6,0.0,74.3,
753,1915,Oct,12.7,6.3,2.0,53.3,
754,1915,Nov,6.9,0.1,15.0,64.6,
755,1915,Dec,9.0,3.5,6.0,127.1,
756,1916,Jan,10.3,5.1,0.0,38.1,
757,1916,Feb,6.5,1.1,10.0,97.3,
758,1916,Mar,6.5,1.1,9.0,131.8,
759,1916,Apr,13.9,4.3,1.0,25.2,
760,1916,May,17.3,7.6,0.0,51.6,
761,1916,Jun,15.9,8.1,0.0,46.9,
762,1916,Jul,20.9,11.0,0.0,45.3,
763,1916,Aug,21.8,12.6,0.0,102.9,
764,1916,Sep,17.6,9.0,0.0,23.3,
765,1916,Oct,14.6,8.2,2.0,93.7,
766,1916,Nov,9.4,3.8,4.0,85.6,
767,1916,Dec,4.1,-0.6,18.0,72.3,
768,1917,Jan,3.2,0.1,18.0,36.5,
769,1917,Feb,4.3,-1.4,16.0,32.0,
770,1917,Mar,6.9,0.0,15.0,45.5,
771,1917,Apr,10.5,1.8,11.0,41.5,
772,1917,May,19.5,8.2,0.0,42.0,
773,1917,Jun,21.4,10.8,0.0,56.4,
774,1917,Jul,21.1,11.9,0.0,82.9,
775,1917,Aug,19.0,12.7,0.0,101.3,
776,1917,Sep,18.7,10.8,0.0,43.1,
777,1917,Oct,12.2,4.0,1.0,106.0,
778,1917,Nov,10.6,5.3,2.0,17.3,
779,1917,Dec,4.7,-0.7,18.0,24.5,
780,1918,Jan,6.4,1.3,13.0,69.6,
781,1918,Feb,9.2,3.9,5.0,27.9,
782,1918,Mar,10.9,2.1,7.0,19.8,
783,1918,Apr,10.5,3.6,2.0,81.5,
784,1918,May,19.1,8.0,0.0,47.0,
785,1918,Jun,18.9,8.5,0.0,33.3,
786,1918,Jul,20.8,11.7,0.0,100.6,
787,1918,Aug,21.1,12.0,0.0,30.5,
788,1918,Sep,16.1,9.0,0.0,126.1,
789,1918,Oct,12.6,6.4,0.0,44.3,
790,1918,Nov,9.2,2.1,11.0,49.5,
791,1918,Dec,9.9,5.0,2.0,59.5,
792,1919,Jan,5.2,0.6,12.0,85.5,
793,1919,Feb,4.3,-1.0,15.0,55.7,
794,1919,Mar,7.5,1.0,11.0,97.9,
795,1919,Apr,11.8,3.3,7.0,57.1,
796,1919,May,19.5,7.8,0.0,15.6,
797,1919,Jun,20.4,9.7,0.0,17.9,
798,1919,Jul,18.7,10.2,0.0,59.7,
799,1919,Aug,22.4,12.0,0.0,72.5,
800,1919,Sep,18.0,8.7,1.0,31.5,
801,1919,Oct,12.1,2.3,5.0,38.2,
802,1919,Nov,6.1,1.0,12.0,21.8,
803,1919,Dec,8.6,3.2,3.0,112.3,
804,1920,Jan,8.6,2.8,6.0,54.3,
805,1920,Feb,9.9,2.7,6.0,16.1,
806,1920,Mar,12.0,3.8,3.0,41.8,
807,1920,Apr,12.0,5.9,0.0,78.5,
808,1920,May,17.1,7.8,0.0,42.9,
809,1920,Jun,19.6,10.1,0.0,81.2,
810,1920,Jul,18.2,11.0,0.0,119.0,
811,1920,Aug,18.0,9.7,0.0,28.5,
812,1920,Sep,18.1,9.3,0.0,45.0,
813,1920,Oct,14.5,6.6,1.0,48.9,
814,1920,Nov,9.8,3.4,7.0,35.1,
815,1920,Dec,6.8,2.2,9.0,58.9,
816,1921,Jan,9.9,5.2,2.0,62.4,
817,1921,Feb,8.6,1.4,7.0,14.3,
818,1921,Mar,11.8,4.1,1.0,23.8,
819,1921,Apr,14.2,3.9,3.0,23.1,
820,1921,May,17.5,6.9,1.0,38.0,
821,1921,Jun,21.4,9.5,0.0,8.7,
822,1921,Jul,26.1,13.3,0.0,7.2,
823,1921,Aug,20.9,12.1,0.0,41.9,
824,1921,Sep,20.6,9.3,0.0,43.6,
825,1921,Oct,18.9,8.2,0.0,32.5,
826,1921,Nov,8.0,1.7,12.0,42.9,
827,1921,Dec,9.4,3.6,5.0,40.9,
828,1922,Jan,7.1,1.3,13.0,61.2,
829,1922,Feb,8.3,1.4,11.0,58.0,
830,1922,Mar,8.5,1.8,8.0,48.9,
831,1922,Apr,10.4,1.9,7.0,71.9,
832,1922,May,19.9,8.1,0.0,34.0,
833,1922,Jun,19.9,9.3,0.0,30.3,
834,1922,Jul,18.5,10.4,0.0,90.2,
835,1922,Aug,18.1,10.1,0.0,130.4,
836,1922,Sep,16.9,8.8,0.0,35.4,
837,1922,Oct,12.9,4.0,6.0,12.7,
838,1922,Nov,9.0,2.3,8.0,31.2,
839,1922,Dec,8.4,3.9,1.0,66.4,
840,1923,Jan,8.4,2.2,4.0,40.6,
841,1923,Feb,8.8,3.7,2.0,91.3,
842,1923,Mar,9.8,3.6,1.0,66.8,
843,1923,Apr,12.2,4.3,2.0,57.9,
844,1923,May,14.7,6.0,1.0,36.6,
845,1923,Jun,17.3,8.8,0.0,10.8,
846,1923,Jul,23.4,13.5,0.0,37.9,
847,1923,Aug,21.4,11.1,0.0,83.8,
848,1923,Sep,18.0,8.5,0.0,46.3,
849,1923,Oct,13.6,7.1,0.0,99.7,
850,1923,Nov,6.8,0.0,13.0,34.6,
851,1923,Dec,7.4,1.0,14.0,60.4,
852,1924,Jan,7.7,3.0,5.0,80.1,
853,1924,Feb,6.3,0.4,12.0,6.5,
854,1924,Mar,9.6,-0.2,21.0,23.8,
855,1924,Apr,12.5,3.7,5.0,67.6,
856,1924,May,16.9,8.0,0.0,100.6,
857,1924,Jun,19.1,10.4,0.0,69.3,
858,1924,Jul,20.7,10.9,0.0,92.5,
859,1924,Aug,18.8,10.5,0.0,49.8,
860,1924,Sep,17.4,10.5,0.0,108.4,
861,1924,Oct,14.1,7.3,1.0,99.0,
862,1924,Nov,10.1,4.8,4.0,47.2,
863,1924,Dec,9.1,4.3,1.0,110.1,
864,1925,Jan,8.4,2.3,6.0,40.9,
865,1925,Feb,9.0,2.5,2.0,86.4,
866,1925,Mar,8.9,1.5,13.0,11.9,
867,1925,Apr,12.2,3.6,1.0,56.6,
868,1925,May,16.8,7.8,0.0,68.0,
869,1925,Jun,21.5,9.9,0.0,1.7,
870,1925,Jul,22.5,12.3,0.0,98.9,
871,1925,Aug,20.1,12.0,0.0,59.5,
